ACTUAL ;Jugador;Posición;G;NUEVO;PAIS;MI ACTUAL 
1441891254.png;Noah Okafor;Delantero;.png;Noah Okafor.png;Switzerland;1.441.891.254
1441891103.png;Christian Fassnacht;Delantero;.png;Christian Fassnacht.png;Switzerland;1.441.891.103
1441888229.png;DT Murat Yakin;DT;.png;DT Murat Yakin.png;Switzerland;1.441.888.229
1443089355.png;Vanja Milinković-Savić;Portero;.png;Vanja Milinković-Savić.png;Serbia;1.443.089.355
1443089199.png;Predrag Rajkovic;Portero;.png;Predrag Rajkovic.png;Serbia;1.443.089.199
1443089079.png;Marko Dmitrovic;Portero;.png;Marko Dmitrovic.png;Serbia;1.443.089.079
1443090591.png;Milos Veljkovic;Defensor;.png;Milos Veljkovic.png;Serbia;1.443.090.591
1443091627.png;Strahinja Pavlovic;Defensor;.png;Strahinja Pavlovic.png;Serbia;1.443.091.627
1443090789.png;Strahinja Erakovic;Defensor;.png;Strahinja Erakovic.png;Serbia;1.443.090.789
1443090546.png;Nikola Milenkovic;Defensor;.png;Nikola Milenkovic.png;Serbia;1.443.090.546
1443090367.png;Stefan Mitrovic;Defensor;.png;Stefan Mitrovic.png;Serbia;1.443.090.367
1443090458.png;Filip Mladenovic;Defensor;.png;Filip Mladenovic.png;Serbia;1.443.090.458
1443090888.png;Srdjan Babic;Defensor;.png;Srdjan Babic.png;Serbia;1.443.090.888
1443090692.png;Nemanja Gudelj;Mediocampista;.png;Nemanja Gudelj.png;Serbia;1.443.090.692
1443091650.png;Sergej Milinković-Savić;Mediocampista;.png;Sergej Milinković-Savić.png;Serbia;1.443.091.650
1443091665.png;Sasa Lukic;Mediocampista;.png;Sasa Lukic.png;Serbia;1.443.091.665
1443091702.png;Filip Kostic;Mediocampista;.png;Filip Kostic.png;Serbia;1.443.091.702
1443090941.png;Uros Racic;Mediocampista;.png;Uros Racic.png;Serbia;1.443.090.941
1443091678.png;Ivan Ilic;Mediocampista;.png;Ivan Ilic.png;Serbia;1.443.091.678
1443091019.png;Andrija Zivkovic;Mediocampista;.png;Andrija Zivkovic.png;Serbia;1.443.091.019
1443091601.png;Darko Lazovic;Mediocampista;.png;Darko Lazovic.png;Serbia;1.443.091.601
1443090980.png;Nemanja Maksimovic;Mediocampista;.png;Nemanja Maksimovic.png;Serbia;1.443.090.980
1443091557.png;Marko Grujic;Mediocampista;.png;Marko Grujic.png;Serbia;1.443.091.557
1443091713.png;Aleksandar Mitrovic;Delantero;.png;Aleksandar Mitrovic.png;Serbia;1.443.091.713
1443090299.png;Filip Djuricic;Delantero;.png;Filip Djuricic.png;Serbia;1.443.090.299
1443089628.png;Nemanja Radonjic;Delantero;.png;Nemanja Radonjic.png;Serbia;1.443.089.628
1443091685.png;Luka Jovic;Delantero;.png;Luka Jovic.png;Serbia;1.443.091.685
1443089559.png;Dusan Tadic;Delantero;.png;Dusan Tadic.png;Serbia;1.443.089.559
1443089493.png;Dusan Vlahovic;Delantero;.png;Dusan Vlahovic.png;Serbia;1.443.089.493
1443089029.png;DT Dragan Stojkovic;DT;.png;DT Dragan Stojkovic.png;Serbia;1.443.089.029
1442260422.png;Edouard Mendy;Portero;.png;Edouard Mendy.png;Senegal;1.442.260.422
1442260322.png;Alfred Gomis;Portero;.png;Alfred Gomis.png;Senegal;1.442.260.322
1442259959.png;Seny Dieng ;Portero;.png;Seny Dieng .png;Senegal;1.442.259.959
1442260687.png;Kalidou Koulibaly;Defensor;.png;Kalidou Koulibaly.png;Senegal;1.442.260.687
1442261725.png;Pape Abou Cisse;Defensor;.png;Pape Abou Cisse.png;Senegal;1.442.261.725
1442262267.png;Abdou Diallo ;Defensor;.png;Abdou Diallo .png;Senegal;1.442.262.267
1442262093.png;Fodé Ballo-Touré;Defensor;.png;Fodé Ballo-Touré.png;Senegal;1.442.262.093
1442262130.png;Formose Mendy;Defensor;.png;Formose Mendy.png;Senegal;1.442.262.130
1442260564.png;Ismail Jakobs;Defensor;.png;Ismail Jakobs.png;Senegal;1.442.260.564
1442262207.png;Youssouf Sabaly;Defensor;.png;Youssouf Sabaly.png;Senegal;1.442.262.207
1443611101.png;Moussa N'Diaye;Defensor;.png;Moussa N'Diaye.png;Senegal;1.443.611.101
1442261952.png;Idrissa Gana Gueye;Mediocampista;.png;Idrissa Gana Gueye.png;Senegal;1.442.261.952
1442261124.png;Cheikhou Kouyaté;Mediocampista;.png;Cheikhou Kouyaté.png;Senegal;1.442.261.124
1442261400.png;Nampalys Mendy;Mediocampista;.png;Nampalys Mendy.png;Senegal;1.442.261.400
1442262151.png;Pape Gueye ;Mediocampista;.png;Pape Gueye .png;Senegal;1.442.262.151
1442261956.png;Pape Matar Sarr;Mediocampista;.png;Pape Matar Sarr.png;Senegal;1.442.261.956
1442261797.png;Mamadou Loum N'Diaye;Mediocampista;.png;Mamadou Loum N'Diaye.png;Senegal;1.442.261.797
1442261873.png;Moustapha Name;Mediocampista;.png;Moustapha Name.png;Senegal;1.442.261.873
1442260621.png;Pathe Ciss;Mediocampista;.png;Pathe Ciss.png;Senegal;1.442.260.621
1442261894.png;Ismalia Sarr;Delantero;.png;Ismalia Sarr.png;Senegal;1.442.261.894
1442261921.png;Boulaye Dia;Delantero;.png;Boulaye Dia.png;Senegal;1.442.261.921
1442261832.png;Bamba Dieng;Delantero;.png;Bamba Dieng.png;Senegal;1.442.261.832
1442261597.png;Iliman Ndiaye;Delantero;.png;Iliman Ndiaye.png;Senegal;1.442.261.597
1442261639.png;Famara Diedhou;Delantero;.png;Famara Diedhou.png;Senegal;1.442.261.639
1442261313.png;Krepin Diatta ;Delantero;.png;Krepin Diatta .png;Senegal;1.442.261.313
1442262169.png;Nicolas Jackson;Delantero;.png;Nicolas Jackson.png;Senegal;1.442.262.169
DT Aliou Cissé.png;DT Aliou Cissé;DT;.png;DT Aliou Cissé.png;Senegal;1.42.4444
1442513531.png;Aymen Dahmen;Arquero;.png;Aymen Dahmen.png;Tunisia;1.442.513.531
1442513745.png;Mouez Hasen;Arquero;.png;Mouez Hasen.png;Tunisia;1.442.513.745
1442513465.png;Balbouli;Arquero;.png;Balbouli.png;Tunisia;1.442.513.465
1442513690.png;Bechir Ben Said;Arquero;.png;Bechir Ben Said.png;Tunisia;1.442.513.690
1442514989.png;Mohamed Drager;Defensor;.png;Mohamed Drager.png;Tunisia;1.442.514.989
1442514045.png;Wajdi Kechrida;Defensor;.png;Wajdi Kechrida.png;Tunisia;1.442.514.045
1442513910.png;Bilel Ifa;Defensor;.png;Bilel Ifa.png;Tunisia;1.442.513.910
1442515148.png;Montassar Talbi;Defensor;.png;Montassar Talbi.png;Tunisia;1.442.515.148
1442513827.png;Dylan Bronn;Defensor;.png;Dylan Bronn.png;Tunisia;1.442.513.827
1442515239.png;Yassine Meriah;Defensor;.png;Yassine Meriah.png;Tunisia;1.442.515.239
1442513985.png;Nader Ghandri;Defensor;.png;Nader Ghandri.png;Tunisia;1.442.513.985
1442514969.png;Ali Maaloul;Defensor;.png;Ali Maaloul.png;Tunisia;1.442.514.969
1442514025.png;Ali Abdi;Defensor;.png;Ali Abdi.png;Tunisia;1.442.514.025
1442513770.png;Ellyes Skhiri;Mediocampista;.png;Ellyes Skhiri.png;Tunisia;1.442.513.770
1442514798.png;Aissa Laidouni;Mediocampista;.png;Aissa Laidouni.png;Tunisia;1.442.514.798
1442515055.png;Ferjani Sassi;Mediocampista;.png;Ferjani Sassi.png;Tunisia;1.442.515.055
1442514225.png;Ghailene Chaalali;Mediocampista;.png;Ghailene Chaalali.png;Tunisia;1.442.514.225
1442514774.png;Mohamed Ali Ben Romdhane;Mediocampista;.png;Mohamed Ali Ben Romdhane.png;Tunisia;1.442.514.774
1442513963.png;Hannibal Mejbri;Mediocampista;.png;Hannibal Mejbri.png;Tunisia;1.442.513.963
1442514129.png;Seifeddine Jaziri;Delantero;.png;Seifeddine Jaziri.png;Tunisia;1.442.514.129
1442515031.png;Naim Sliti;Delantero;.png;Naim Sliti.png;Tunisia;1.442.515.031
1442514885.png;Taha Yassine Khenissi;Delantero;.png;Taha Yassine Khenissi.png;Tunisia;1.442.514.885
1442514104.png;Anis Ben Slimane;Delantero;.png;Anis Ben Slimane.png;Tunisia;1.442.514.104
1442514856.png;Issam Jebali;Delantero;.png;Issam Jebali.png;Tunisia;1.442.514.856
1442513861.png;Wahbi Khazri;Delantero;.png;Wahbi Khazri.png;Tunisia;1.442.513.861
1442515172.png;Youssef Msakni;Delantero;.png;Youssef Msakni.png;Tunisia;1.442.515.172
1442513366.png;DT Halel Kadri;DT;.png;DT Halel Kadri.png;Tunisia;1.442.513.366
1442844652.png;James Pantemis;Portero;.png;James Pantemis.png;Canada;1.442.844.652
1442844750.png;Milan Borjan;Portero;.png;Milan Borjan.png;Canada;1.442.844.750
1442844606.png;Dayne St. Clair;Portero;.png;Dayne St. Clair.png;Canada;1.442.844.606
1442847523.png;Samuel Adekugbe;Defensor;.png;Samuel Adekugbe.png;Canada;1.442.847.523
1442846218.png;Joel Waterman;Defensor;.png;Joel Waterman.png;Canada;1.442.846.218
1442846604.png;Alistair Johnston;Defensor;.png;Alistair Johnston.png;Canada;1.442.846.604
1442846719.png;Richie Laryea;Defensor;.png;Richie Laryea.png;Canada;1.442.846.719
1442846594.png;Kamal Miller;Defensor;.png;Kamal Miller.png;Canada;1.442.846.594
1442844930.png;Steven Vitoria;Defensor;.png;Steven Vitoria.png;Canada;1.442.844.930
1442844963.png;Derek Cornelius;Defensor;.png;Derek Cornelius.png;Canada;1.442.844.963
1442845354.png;Liam Fraser;Mediocampista;.png;Liam Fraser.png;Canada;1.442.845.354
1442846452.png;Ismael Koné;Mediocampista;.png;Ismael Koné.png;Canada;1.442.846.452
1442845181.png;Mark Anthony Kaye;Mediocampista;.png;Mark Anthony Kaye.png;Canada;1.442.845.181
1442847605.png;David Wotherspoon;Mediocampista;.png;David Wotherspoon.png;Canada;1.442.847.605
1442846685.png;Jonathan Osorio;Mediocampista;.png;Jonathan Osorio.png;Canada;1.442.846.685
1442845134.png;Atiba Hutchinson;Mediocampista;.png;Atiba Hutchinson.png;Canada;1.442.845.134
1442846614.png;Stephen Eustaquio;Mediocampista;.png;Stephen Eustaquio.png;Canada;1.442.846.614
1442846752.png;Samuel Piette;Mediocampista;.png;Samuel Piette.png;Canada;1.442.846.752
1442846654.png;Liam Millar;Delantero;.png;Liam Millar.png;Canada;1.442.846.654
1442846585.png;Lucas Cavallini;Delantero;.png;Lucas Cavallini.png;Canada;1.442.846.585
1442845483.png;Ike Ugbo;Delantero;.png;Ike Ugbo.png;Canada;1.442.845.483
1442846559.png;Tajon Buchanan;Delantero;.png;Tajon Buchanan.png;Canada;1.442.846.559
1442844823.png;Jonathan David;Delantero;.png;Jonathan David.png;Canada;1.442.844.823
1442845035.png;Cyle Larin;Delantero;.png;Cyle Larin.png;Canada;1.442.845.035
1442847715.png;Alphonso Davies;Delantero;.png;Alphonso Davies.png;Canada;1.442.847.715
1442846791.png;Junior Hoilett;Delantero;.png;Junior Hoilett.png;Canada;1.442.846.791
1442844030.png;DT John Herdman;DT;.png;DT John Herdman.png;Canada;1.442.844.030
1441720667.png;Ethan Horvat;Portero;.png;Ethan Horvat.png;United States;1.441.720.667
1441720740.png;Sean Johnson;Portero;.png;Sean Johnson.png;United States;1.441.720.740
1441720646.png;Matt Turner;Portero;.png;Matt Turner.png;United States;1.441.720.646
1441722845.png;Cameron Carter-Vickers;Defensor;.png;Cameron Carter-Vickers.png;United States;1.441.722.845
1441732428.png;Sergiño Dest;Defensor;.png;Sergiño Dest.png;United States;1.441.732.428
1441721745.png;Aaron Long;Defensor;.png;Aaron Long.png;United States;1.441.721.745
1441722964.png;Shaq Moore;Defensor;.png;Shaq Moore.png;United States;1.441.722.964
1441722139.png;Tim Ream;Defensor;.png;Tim Ream.png;United States;1.441.722.139
1441732497.png;Antonee Robinson;Defensor;.png;Antonee Robinson.png;United States;1.441.732.497
1441723462.png;Joe Scally;Defensor;.png;Joe Scally.png;United States;1.441.723.462
1441723406.png;DeAndre Yedlin;Defensor;.png;DeAndre Yedlin.png;United States;1.441.723.406
1441723317.png;Walker Zimmerman;Defensor;.png;Walker Zimmerman.png;United States;1.441.723.317
1441723033.png;Brenden Aaronson;Mediocampista;.png;Brenden Aaronson.png;United States;1.441.723.033
1441721412.png;Kellyn Acosta;Mediocampista;.png;Kellyn Acosta.png;United States;1.441.721.412
1441722078.png;Tyler Adams;Mediocampista;.png;Tyler Adams.png;United States;1.441.722.078
1441723161.png;Luca de la Torre;Mediocampista;.png;Luca de la Torre.png;United States;1.441.723.161
1441722790.png;Weston McKennie;Mediocampista;.png;Weston McKennie.png;United States;1.441.722.790
1441721484.png;Yunus Musah;Mediocampista;.png;Yunus Musah.png;United States;1.441.721.484
1441723283.png;Cristian Roldan;Mediocampista;.png;Cristian Roldan.png;United States;1.441.723.283
1441723343.png;Jesús Ferreira;Delantero;.png;Jesús Ferreira.png;United States;1.441.723.343
1441722238.png;Jordan Morris;Delantero;.png;Jordan Morris.png;United States;1.441.722.238
1441721640.png;Christian Pulisic;Delantero;.png;Christian Pulisic.png;United States;1.441.721.640
1441723620.png;Gio Reyna;Delantero;.png;Gio Reyna.png;United States;1.441.723.620
1441732346.png;Josh Sargent;Delantero;.png;Josh Sargent.png;United States;1.441.732.346
1441723369.png;Tim Weah;Delantero;.png;Tim Weah.png;United States;1.441.723.369
1441723126.png;Haji Wright;Delantero;.png;Haji Wright.png;United States;1.441.723.126
1441720508.png;DT Gregg Berhalter;DT;.png;DT Gregg Berhalter.png;United States;1.441.720.508
1442232958.png;Hugo Lloris;Portero;.png;Hugo Lloris.png;France;1,442,232,958
1442233046.png;Steve Mandanda;Portero;.png;Steve Mandanda.png;France;1,442,233,046
1442232994.png;Alphonse Aréola;Portero;.png;Alphonse Aréola.png;France;1,442,232,994
1442234000.png;Raphael Varane;Defensor;.png;Raphael Varane.png;France;1,442,234,000
1442233625.png;Jules Koundé;Defensor;.png;Jules Koundé.png;France;1,442,233,625
1442233207.png;Theo Hernández;Defensor;.png;Theo Hernández.png;France;1,442,233,207
1442233458.png;Dayot Upamecano;Defensor;.png;Dayot Upamecano.png;France;1,442,233,458
1442233694.png;Ibrahima Konaté;Defensor;.png;Ibrahima Konaté.png;France;1,442,233,694
1442233372.png;Axel Disasi;Defensor;.png;Axel Disasi.png;France;1,442,233,372
1442233272.png;William Saliba;Defensor;.png;William Saliba.png;France;1,442,233,272
1442233170.png;Benjamin Pavard;Defensor;.png;Benjamin Pavard.png;France;1,442,233,170
1442233076.png;Lucas Hernández;Defensor;.png;Lucas Hernández.png;France;1,442,233,076
1442233249.png;Eduardo Camavinga;Volante;.png;Eduardo Camavinga.png;France;1,442,233,249
1442233818.png;Aurélien Tchouaméni;Volante;.png;Aurélien Tchouaméni.png;France;1,442,233,818
1442233766.png;Kingsley Coman;Volante;.png;Kingsley Coman.png;France;1,442,233,766
1442233546.png;Adrien Rabiot;Volante;.png;Adrien Rabiot.png;France;1,442,233,546
1442233324.png;Youssouf Fofana;Volante;.png;Youssouf Fofana.png;France;1,442,233,324
1442233410.png;Mattéo Guendouzi;Volante;.png;Mattéo Guendouzi.png;France;1,442,233,410
1442233735.png;Jordan Veretout;Volante;.png;Jordan Veretout.png;France;1,442,233,735
1442234453.png;Kylian Mbappé;Delantero;.png;Kylian Mbappé.png;France;1,442,234,453
1442234382.png;Antoine Griezmann;Delantero;.png;Antoine Griezmann.png;France;1,442,234,382
1442233954.png;Ousmane Dembélé;Delantero;.png;Ousmane Dembélé.png;France;1,442,233,954
1442234094.png;Olivier Giroud;Delantero;.png;Olivier Giroud.png;France;1,442,234,094
Empty-field.png;Marcus Thuram;Delantero;.png;Marcus Thuram.png;France;Empty-field
1442233129.png;Randal Kolo Muani;Delantero;.png;Randal Kolo Muani.png;France;1,442,233,129
1442232928.png;DT Didier Deschamps;DT;.png;DT Didier Deschamps.png;France;1,442,232,928
1442167741.png;Justin Bijlow;Portero;.png;Justin Bijlow.png;Netherlands;1,442,167,741
1442167721.png;Andries Noppert;Portero;.png;Andries Noppert.png;Netherlands;1,442,167,721
1442167764.png;Remko Pasveer;Portero;.png;Remko Pasveer.png;Netherlands;1,442,167,764
1442167854.png;Nathan Aké;Defensor;.png;Nathan Aké.png;Netherlands;1,442,167,854
1442168748.png;Virgil van Dijk;Defensor;.png;Virgil van Dijk.png;Netherlands;1,442,168,748
1442170689.png;Jeremie Frimpong;Defensor;.png;Jeremie Frimpong.png;Netherlands;1,442,170,689
1442168641.png;Stefan de Vrij;Defensor;.png;Stefan de Vrij.png;Netherlands;1,442,168,641
1442167801.png;Daley Blind;Defensor;.png;Daley Blind.png;Netherlands;1,442,167,801
1442168832.png;Matthijs de Ligt;Defensor;.png;Matthijs de Ligt.png;Netherlands;1,442,168,832
1442170292.png;Tyrell Malacia;Defensor;.png;Tyrell Malacia.png;Netherlands;1,442,170,292
1442169429.png;Jurrien Timber;Defensor;.png;Jurrien Timber.png;Netherlands;1,442,169,429
1442168943.png;Denzel Dumfries;Defensor;.png;Denzel Dumfries.png;Netherlands;1,442,168,943
1442168774.png;Frenkie De Jong;Mediocampista;.png;Frenkie De Jong.png;Netherlands;1,442,168,774
1442169078.png;Davy Klaassen;Mediocampista;.png;Davy Klaassen.png;Netherlands;1,442,169,078
1442169724.png;Xavi Simons;Mediocampista;.png;Xavi Simons.png;Netherlands;1,442,169,724
1442168488.png;Steven Berghuis;Mediocampista;.png;Steven Berghuis.png;Netherlands;1,442,168,488
1442170937.png;Marten de Roon;Mediocampista;.png;Marten de Roon.png;Netherlands;1,442,170,937
1442168535.png;Kenneth Taylor;Mediocampista;.png;Kenneth Taylor.png;Netherlands;1,442,168,535
1442170434.png;Teun Koopmeiners;Mediocampista;.png;Teun Koopmeiners.png;Netherlands;1,442,170,434
1442170870.png;Memphis Depay;Delantero;.png;Memphis Depay.png;Netherlands;1,442,170,870
1442169262.png;Steven Bergwijn;Delantero;.png;Steven Bergwijn.png;Netherlands;1,442,169,262
1442169219.png;Cody Gakpo;Delantero;.png;Cody Gakpo.png;Netherlands;1,442,169,219
1442168685.png;Wout Weghorst;Delantero;.png;Wout Weghorst.png;Netherlands;1,442,168,685
1442171035.png;Vincent Janssen;Delantero;.png;Vincent Janssen.png;Netherlands;1,442,171,035
1442170376.png;Luuk de Jong;Delantero;.png;Luuk de Jong.png;Netherlands;1,442,170,376
1442169512.png;Noa Lang;Delantero;.png;Noa Lang.png;Netherlands;1,442,169,512
1442167557.png;DT Louis van Gaal;DT;.png;DT Louis van Gaal.png;Netherlands;1,442,167,557
1443094166.png;Lawrence Ati Zigi;Arquero;.png;Lawrence Ati Zigi.png;Ghana;1,443,094,166
1443094288.png;Abdul Manaf Nurudeen;Arquero;.png;Abdul Manaf Nurudeen.png;Ghana;1,443,094,288
1443094377.png;Ibrahim Danlad;Arquero;.png;Ibrahim Danlad.png;Ghana;1,443,094,377
1443098558.png;Tariq Lamptey;Defensor;.png;Tariq Lamptey.png;Ghana;1,443,098,558
1443098348.png;Alidu Seidu;Defensor;.png;Alidu Seidu.png;Ghana;1,443,098,348
1443098545.png;Alexander Djiku;Defensor;.png;Alexander Djiku.png;Ghana;1,443,098,545
1443098389.png;Gideon Mensah;Defensor;.png;Gideon Mensah.png;Ghana;1,443,098,389
1443097732.png;Dennis Odoi;Defensor;.png;Dennis Odoi.png;Ghana;1,443,097,732
1443098255.png;Daniel Amartey;Defensor;.png;Daniel Amartey.png;Ghana;1,443,098,255
1443098597.png;Mohammed Salisu;Defensor;.png;Mohammed Salisu.png;Ghana;1,443,098,597
1443098400.png;Joseph Aidoo;Defensor;.png;Joseph Aidoo.png;Ghana;1,443,098,400
1443096640.png;Baba Abdul Rahman;Defensor;.png;Baba Abdul Rahman.png;Ghana;1,443,096,640
1443098375.png;Andre Ayew;Mediocampista;.png;Andre Ayew.png;Ghana;1,443,098,375
1443098494.png;Mohammed Kudus;Mediocampista;.png;Mohammed Kudus.png;Ghana;1,443,098,494
1443098323.png;Abdul Fatawu Issahaku;Mediocampista;.png;Abdul Fatawu Issahaku.png;Ghana;1,443,098,323
1443095587.png;Thomas Partey;Mediocampista;.png;Thomas Partey.png;Ghana;1,443,095,587
1443094505.png;Antoine Semenyo;Mediocampista;.png;Antoine Semenyo.png;Ghana;1,443,094,505
1443094461.png;Elisha Owusu;Mediocampista;.png;Elisha Owusu.png;Ghana;1,443,094,461
1443095555.png;Sowah Kamal;Mediocampista;.png;Sowah Kamal.png;Ghana;1,443,095,555
1443097203.png;Kamaldeen Sulemana;Mediocampista;.png;Kamaldeen Sulemana.png;Ghana;1,443,097,203
1443098453.png;Daniel Kofi Kyereh;Delantero;.png;Daniel Kofi Kyereh.png;Ghana;1,443,098,453
1443096120.png;Abdul Salis Samed;Delantero;.png;Abdul Salis Samed.png;Ghana;1,443,096,120
1443095027.png;Osman Bukari;Delantero;.png;Osman Bukari.png;Ghana;1,443,095,027
1443098435.png;Daniel Afriyie Barnieh;Delantero;.png;Daniel Afriyie Barnieh.png;Ghana;1,443,098,435
1443098509.png;Iñaki Williams;Delantero;.png;Iñaki Williams.png;Ghana;1,443,098,509
1443097162.png;Jordan Ayew;Delantero;.png;Jordan Ayew.png;Ghana;1,443,097,162
1443094117.png;DT Otto Addo;DT;.png;DT Otto Addo.png;Ghana;1,443,094,117
